id,title,description,status,priority,project_id,assignee_id,due_date,created_at,updated_at,updated_by
a51e55ec-3111-4612-843f-8959ee6f4f7e,Organize a meeting to discuss the summit agenda,Schedule a meeting where the agenda for the front office summit can be planned and finalized.,todo,medium,6d564954-127a-4e0d-984a-972a77c66808,9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd,Mon Sep 29 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:53 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:53 GMT-0400 (Eastern Daylight Time),
7455487a-3e02-4cec-ac45-574786aa8b3c,Arrange transportation for River Ranch trip,Set up transportation for the trip to River Ranch for summit activities and dinner on day two of the event,completed,medium,d0ed2538-f106-48e5-a62c-0fc430290a3d,9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd,,Thu Aug 21 2025 21:42:51 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 01:08:53 GMT-0400 (Eastern Daylight Time),9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd
baec2394-7629-4c40-8aa9-616c792d7fe1,task 1,vhgv,todo,medium,f5c0702f-5232-4588-b072-9a395544b805,,Wed Aug 27 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Sun Aug 17 2025 23:00:29 GMT-0400 (Eastern Daylight Time),Sun Aug 17 2025 23:00:29 GMT-0400 (Eastern Daylight Time),
597c2012-0fea-42ce-b127-ce037f41b50b,Collect dietary preferences,Determine if any attendees have food allergies or specific dietary requirements,todo,medium,d0ed2538-f106-48e5-a62c-0fc430290a3d,9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd,,Thu Aug 21 2025 21:42:51 GMT-0400 (Eastern Daylight Time),Thu Aug 21 2025 21:42:51 GMT-0400 (Eastern Daylight Time),
82f55971-fd4f-4712-977b-6b2a20e1e3b6,Send email to GMs about summit,Email all GMs for the properties informing them about the summit,completed,high,d0ed2538-f106-48e5-a62c-0fc430290a3d,9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd,,Thu Aug 21 2025 21:42:51 GMT-0400 (Eastern Daylight Time),Fri Aug 22 2025 02:05:01 GMT-0400 (Eastern Daylight Time),
bff80601-2488-4ec7-ac14-60a142f5e92b,omar test task 9-21-2025,,todo,medium,6d564954-127a-4e0d-984a-972a77c66808,,,Mon Sep 22 2025 03:07:00 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 03:07:00 GMT-0400 (Eastern Daylight Time),
75ca7bae-2756-42b5-9167-41efd17b634d,Test Task 8st_,Automated test task created by script,in_progress,medium,30cccba1-ec65-4c98-9c76-f7d798e12bf2,,,Mon Sep 22 2025 02:42:14 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:44:18 GMT-0400 (Eastern Daylight Time),b0ebe622-6ae7-4511-9806-f4c63eaf3f36
ae2cefd7-f500-47c5-9add-ddd61264b116,Organize meeting for food items discussion,Arrange a meeting with the food and beverage department to finalize the food for the summit.,todo,high,6d564954-127a-4e0d-984a-972a77c66808,9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd,Tue Sep 30 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:48 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:48 GMT-0400 (Eastern Daylight Time),
b70443bf-3cb2-43a0-b72d-b761f2dcf46e,Set up meeting to discuss summit activities,Organize a meeting to plan and discuss the different activities that will take place during the summit.,todo,medium,6d564954-127a-4e0d-984a-972a77c66808,9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd,Mon Sep 29 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:49 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:49 GMT-0400 (Eastern Daylight Time),
b021913e-4b67-4499-b0ef-bf759ef1cfdd,Plan meeting to discuss summit agenda,Schedule a meeting to create and finalize the agenda of the summit.,todo,medium,6d564954-127a-4e0d-984a-972a77c66808,9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd,Mon Sep 29 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:49 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:49 GMT-0400 (Eastern Daylight Time),
e31a1205-6a30-4a0d-bc4d-ad8116e91d7f,Organize finalizing meetings for summit preparation,Set up various meetings over the next couple of weeks to finalize all aspects of the summit scheduled for October 20th.,todo,medium,6d564954-127a-4e0d-984a-972a77c66808,9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd,Mon Oct 06 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:49 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:49 GMT-0400 (Eastern Daylight Time),
e4a7ce11-fc61-4d66-b7e8-1837fdaec57f,Schedule a meeting to discuss food items for the summit,Coordinate a meeting with the food and beverage department to finalize food items for the upcoming front office summit.,todo,high,6d564954-127a-4e0d-984a-972a77c66808,9a002ca6-ee3c-4ebb-953f-c602fdb3ecbd,Tue Sep 30 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:53 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 02:47:53 GMT-0400 (Eastern Daylight Time),
eeb19872-5ac9-488b-9564-dfde116f7852,Test Task for Activity Tgm_,Automated task created by test script.,completed,medium,b9967e94-9680-4820-bdfc-45637956beeb,,,Mon Sep 22 2025 03:20:13 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 03:23:50 GMT-0400 (Eastern Daylight Time),93ace8f7-5694-40f1-8be4-503034c2bbb6
9487a28c-2c77-4cd1-be06-9be59b64cea6,Completion Test Task 8yio,,todo,medium,6af68922-0bda-44d2-a4f1-589672fefb4e,,,Mon Sep 22 2025 03:38:40 GMT-0400 (Eastern Daylight Time),Mon Sep 22 2025 03:38:40 GMT-0400 (Eastern Daylight Time),
